fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg,hist_fights,hist_wins,hist_losses,hist_win_rate,hist_strike_acc,hist_td_acc,hist_sub_avg,hist_ctrl_avg,hist_finish_rate
918db42c3637916f,Leigh Remedios,Bulldog,18,10,2.0,67.0,155.0,,Orthodox,50.0,0.75,0.41,1.36,0.68,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
f9a20a17d712ef7c,Cole Williams,Havoc,11,3,0.0,72.0,170.0,73.0,Orthodox,42.0,0.31,0.27,5.34,0.23,0.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.5
084532da3d25f3b8,Cezary Oleksiejczuk,,17,3,0.0,75.0,185.0,75.0,Southpaw,26.0,1.99,0.86,0.77,0.47,5.77,0.85,1.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
3956bdc8ab2e54b3,John Gunther,The Machine,5,1,0.0,69.0,155.0,72.0,Orthodox,40.0,1.65,0.37,3.72,0.46,7.08,0.42,0.0,0.0,1.0,1.0,0.0,1.0,0.38028169014084506,0.42105263157894735,0.0,670.0,0.0
103b06d8707895a9,Emil Meek,Valhalla,9,5,,71.0,170.0,74.0,Switch,37.0,2.52,0.39,2.53,0.38,0.25,0.33,0.47,1.0,3.0,1.0,2.0,0.3333333333333333,0.3822593222436113,0.5,1.3333333333333333,172.33333333333334,0.0
e530df53922f413e,Luis Pajuelo,Corazon de Leon,8,2,0.0,70.0,145.0,69.0,Orthodox,31.0,6.03,0.57,8.2,0.52,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
b6b12014698cc345,John Marsh,,8,7,0.0,72.0,265.0,,Orthodox,55.0,0.83,0.42,2.23,0.4,0.43,1.0,0.54,0.4,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
7e9b36a9847db116,Kevin Christian,,9,3,0.0,79.0,205.0,80.0,Orthodox,31.0,1.64,0.56,2.65,0.44,0.0,0.0,0.5,2.3,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
d1941565abf50b16,Jim Miller,A-10,38,19,,68.0,155.0,71.0,Southpaw,42.0,2.92,0.42,3.44,0.56,1.5,0.45,0.48,1.7,44.0,27.0,17.0,0.6136363636363636,0.4199787386077368,0.5200148809523809,1.1136363636363635,122.0909090909091,0.7037037037037037
8c3f3c43c8ceb778,Justin Levens,The Executioner,10,7,0.0,71.0,185.0,,Orthodox,45.0,1.24,0.47,3.15,0.37,1.69,0.5,0.33,5.1,1.0,0.0,1.0,0.0,0.5,0.4,1.0,20.0,0.5
